"input_taxon","input_status","family","genus","hybrid_marker","species","infraspecific_rank","infraspecific","authority","taxonomic_status","taxa","duplicated"
"Leucojum vernum L.","Accepted","Amaryllidaceae","Leucojum","","vernum","","","L.","Accepted","Leucojum  vernum  ",FALSE
"Astragalus baeticus L.","Synonym","Leguminosae","Astragalus","","boeticus","","","L.","Accepted","Astragalus  boeticus  ",FALSE
"Impatiens balsamina L.","Accepted","Balsaminaceae","Impatiens","","balsamina","","","L.","Accepted","Impatiens  balsamina  ",FALSE
"Lotus edulis","Accepted","Leguminosae","Lotus","","edulis","","","L.","Accepted","Lotus  edulis  ",FALSE
"Erodium gruinum L'Her. ex Ait.","Accepted","Geraniaceae","Erodium","","gruinum","","","(L.) L'Hér.","Accepted","Erodium  gruinum  ",FALSE
"Abutilon avicennae Gaertn.","Synonym","Malvaceae","Abutilon","","theophrasti","","","Medik.","Accepted","Abutilon  theophrasti  ",FALSE
"Urtica pilulifera L.","Accepted","Urticaceae","Urtica","","pilulifera","","","L.","Accepted","Urtica  pilulifera  ",FALSE
"Chelidonium majus","Accepted","Papaveraceae","Chelidonium","","majus","","","L.","Accepted","Chelidonium  majus  ",FALSE
"Scrophularia vernalis L.","Accepted","Scrophulariaceae","Scrophularia","","vernalis","","","L.","Accepted","Scrophularia  vernalis  ",FALSE
"Platycapnos spicata L.","Synonym","Papaveraceae","Platycapnos","","spicatus","","","(L.) Bernh.","Accepted","Platycapnos  spicatus  ",FALSE
"Centaurea pullata L.","Accepted","Compositae","Centaurea","","pullata","","","L.","Accepted","Centaurea  pullata  ",FALSE
"Lathyrus ochrus","Accepted","Leguminosae","Lathyrus","","ochrus","","","(L.) DC.","Accepted","Lathyrus  ochrus  ",FALSE
"Humulus lupulus L.","Accepted","Cannabaceae","Humulus","","lupulus","","","L.","Accepted","Humulus  lupulus  ",FALSE
"Melissa officinalis L.","Accepted","Lamiaceae","Melissa","","officinalis","","","L.","Accepted","Melissa  officinalis  ",FALSE
"Tanacetum balsamita L","Accepted","Compositae","Tanacetum","","balsamita","","","L.","Accepted","Tanacetum  balsamita  ",FALSE
"Agrimonia eupatoria L.","Accepted","Rosaceae","Agrimonia","","eupatoria","","","L.","Accepted","Agrimonia  eupatoria  ",FALSE
"Ballota nigra L.","Accepted","Lamiaceae","Ballota","","nigra","","","L.","Accepted","Ballota  nigra  ",FALSE
"Cynoglossum officinale L.","Accepted","Boraginaceae","Cynoglossum","","officinale","","","L.","Accepted","Cynoglossum  officinale  ",FALSE
"Hyoscyamus niger L.","Accepted","Solanaceae","Hyoscyamus","","niger","","","L.","Accepted","Hyoscyamus  niger  ",FALSE
"Teucrium scordium L","Accepted","Lamiaceae","Teucrium","","scordium","","","L.","Accepted","Teucrium  scordium  ",FALSE
"Symphytum officinale L.","Accepted","Boraginaceae","Symphytum","","officinale","","","L.","Accepted","Symphytum  officinale  ",FALSE
"Inula helenium L.","Accepted","Compositae","Inula","","helenium","","","L.","Accepted","Inula  helenium  ",FALSE
"Leonurus cardiaca L.","Accepted","Lamiaceae","Leonurus","","cardiaca","","","L.","Accepted","Leonurus  cardiaca  ",FALSE
"Verbena officinalis L.","Accepted","Verbenaceae","Verbena","","officinalis","","","L.","Accepted","Verbena  officinalis  ",FALSE
"Silybum marianum L.","Unresolved","","Silybum","","marianum","","","Gaertn.","Unresolved","Silybum  marianum  ",FALSE
"Dipsacus silvestris Huds.","Synonym","Caprifoliaceae","Dipsacus","","fullonum","","","L.","Accepted","Dipsacus  fullonum  ",FALSE
"Valeriana officinalis L.","Accepted","Caprifoliaceae","Valeriana","","officinalis","","","L.","Accepted","Valeriana  officinalis  ",FALSE
"Borago officinalis L.","Accepted","Boraginaceae","Borago","","officinalis","","","L.","Accepted","Borago  officinalis  ",FALSE
"Stachys officinalis L.","Accepted","Lamiaceae","Stachys","","officinalis","","","(L.) Trevis.","Accepted","Stachys  officinalis  ",FALSE
"Pulsatilla vulgaris Mill.","Synonym","Ranunculaceae","Anemone","","pulsatilla","","","L.","Accepted","Anemone  pulsatilla  ",FALSE
"Sanguisorba officinalis L.","Accepted","Rosaceae","Sanguisorba","","officinalis","","","L.","Accepted","Sanguisorba  officinalis  ",FALSE
"Mentha viridis L. var. Crispata","Synonym","Lamiaceae","Mentha","","spicata","","","L.","Accepted","Mentha  spicata  ",FALSE
"Helleborus foetidus L.","Accepted","Ranunculaceae","Helleborus","","foetidus","","","L.","Accepted","Helleborus  foetidus  ",FALSE
"Hyssopus officinalis L.","Accepted","Lamiaceae","Hyssopus","","officinalis","","","L.","Accepted","Hyssopus  officinalis  ",FALSE
"Tanacetum vulgare L.","Accepted","Compositae","Tanacetum","","vulgare","","","L.","Accepted","Tanacetum  vulgare  ",FALSE
"Anthemis nobilis","Synonym","Compositae","Chamaemelum","","nobile","","","(L.) All.","Accepted","Chamaemelum  nobile  ",FALSE
"Lycopus europaeus L.","Accepted","Lamiaceae","Lycopus","","europaeus","","","L.","Accepted","Lycopus  europaeus  ",FALSE
"Myrrhis odorata","Accepted","Apiaceae","Myrrhis","","odorata","","","(L.) Scop.","Accepted","Myrrhis  odorata  ",FALSE
"Potentilla erecta","Accepted","Rosaceae","Potentilla","","erecta","","","(L.) Raeusch.","Accepted","Potentilla  erecta  ",FALSE
"Fumaria officinalis L.","Accepted","Papaveraceae","Fumaria","","officinalis","","","L.","Accepted","Fumaria  officinalis  ",FALSE
"Atropa belladonna L.","Accepted","Solanaceae","Atropa","","belladonna","","","L.","Accepted","Atropa  belladonna  ",FALSE
"Sylvestris ssp. mauritania L .A. et Gr.","","","Sylvestris","","mauritania","ssp.","","","","Sylvestris  mauritania ssp. ",FALSE
"Poterium sanguisorba L.","Synonym","Rosaceae","Sanguisorba","","minor","","","Scop.","Accepted","Sanguisorba  minor  ",FALSE
"Arum maculatum L.","Accepted","Araceae","Arum","","maculatum","","","L.","Accepted","Arum  maculatum  ",FALSE
"allium ursinum L","Accepted","Amaryllidaceae","Allium","","ursinum","","","L.","Accepted","Allium  ursinum  ",FALSE
"Saponaria officinalis L","Accepted","Caryophyllaceae","Saponaria","","officinalis","","","L.","Accepted","Saponaria  officinalis  ",FALSE
"Mandragora officinarum L.","Accepted","Solanaceae","Mandragora","","officinarum","","","L.","Accepted","Mandragora  officinarum  ",FALSE
"Armoracia rusticana G.","Accepted","Brassicaceae","Armoracia","","rusticana","","","P.Gaertn., B.Mey. & Scherb.","Accepted","Armoracia  rusticana  ",FALSE
"Polemonium coeruleum L.","Accepted","Polemoniaceae","Polemonium","","caeruleum","","","L.","Accepted","Polemonium  caeruleum  ",FALSE
"Corydalis cava Schw.et K.","Accepted","Papaveraceae","Corydalis","","cava","","","(L.) Schweigg. & Körte","Accepted","Corydalis  cava  ",FALSE
"Achillea millefolium L.","Accepted","Compositae","Achillea","","millefolium","","","L.","Accepted","Achillea  millefolium  ",FALSE
"Veronica officinalis L","Accepted","Plantaginaceae","Veronica","","officinalis","","","L.","Accepted","Veronica  officinalis  ",FALSE
"Rhodiola rosea L.","Synonym","Crassulaceae","Sedum","","roseum","","","(L.) Scop.","Accepted","Sedum  roseum  ",FALSE
"Bryonia alba L.","Accepted","Cucurbitaceae","Bryonia","","alba","","","L.","Accepted","Bryonia  alba  ",FALSE
"Calendula officinalis L","Accepted","Compositae","Calendula","","officinalis","","","L.","Accepted","Calendula  officinalis  ",FALSE
"Althaea officinalis L","Accepted","Malvaceae","Althaea","","officinalis","","","L.","Accepted","Althaea  officinalis  ",FALSE
"Coronilla varia L.","Synonym","Leguminosae","Securigera","","varia","","","(L.) Lassen","Accepted","Securigera  varia  ",FALSE
"Solidago virgaurea L","Accepted","Compositae","Solidago","","virgaurea","","","L.","Accepted","Solidago  virgaurea  ",FALSE
"Verbascum thapsus L.","Accepted","Scrophulariaceae","Verbascum","","thapsus","","","L.","Accepted","Verbascum  thapsus  ",FALSE
"Solanum dulcamara L","Accepted","Solanaceae","Solanum","","dulcamara","","","L.","Accepted","Solanum  dulcamara  ",FALSE
"Galium verum","Accepted","Rubiaceae","Galium","","verum","","","L.","Accepted","Galium  verum  ",FALSE
"Artemisia dracunculus L.","Accepted","Compositae","Artemisia","","dracunculus","","","L.","Accepted","Artemisia  dracunculus  ",FALSE
"Ligusticum scoticum L","Accepted","Apiaceae","Ligusticum","","scoticum","","","L.","Accepted","Ligusticum  scoticum  ",FALSE
"Agrostemma githago L.","Accepted","Caryophyllaceae","Agrostemma","","githago","","","L.","Accepted","Agrostemma  githago  ",FALSE
"Lysimachia vulgaris L.","Accepted","Primulaceae","Lysimachia","","vulgaris","","","L.","Accepted","Lysimachia  vulgaris  ",FALSE
"Cynanchum vincetoxicum Pers.","Synonym","Apocynaceae","Vincetoxicum","","hirundinaria","","","Medik.","Accepted","Vincetoxicum  hirundinaria  ",FALSE
"Papaver somniferum L.","Accepted","Papaveraceae","Papaver","","somniferum","","","L.","Accepted","Papaver  somniferum  ",FALSE
"Imperatoria ostruthium L.","Synonym","Apiaceae","Peucedanum","","ostruthium","","","(L.) W.D.J.Koch","Accepted","Peucedanum  ostruthium  ",FALSE
"Ornithogalum nutans L.","Accepted","Asparagaceae","Ornithogalum","","nutans","","","L.","Accepted","Ornithogalum  nutans  ",FALSE
"Plantago major L. f .rosea","Accepted","Plantaginaceae","Plantago","","major","","","L.","Accepted","Plantago  major  ",FALSE
"Asarum europaeum L.","Accepted","Aristolochiaceae","Asarum","","europaeum","","","L.","Accepted","Asarum  europaeum  ",FALSE
"Artemisia abrotanum L.","Accepted","Compositae","Artemisia","","abrotanum","","","L.","Accepted","Artemisia  abrotanum  ",FALSE
"Dictamnus albus L.","Accepted","Rutaceae","Dictamnus","","albus","","","L.","Accepted","Dictamnus  albus  ",FALSE
"Lathyrus annuus L.","Accepted","Leguminosae","Lathyrus","","annuus","","","L.","Accepted","Lathyrus  annuus  ",FALSE
"Scorzonera hispanica L.","Accepted","Compositae","Scorzonera","","hispanica","","","L.","Accepted","Scorzonera  hispanica  ",FALSE
"Herniaria glabra L","Accepted","Caryophyllaceae","Herniaria","","glabra","","","L.","Accepted","Herniaria  glabra  ",FALSE
"Allium oleraceum L.","Accepted","Amaryllidaceae","Allium","","oleraceum","","","L.","Accepted","Allium  oleraceum  ",FALSE
"Solanum nigrum L","Synonym","Solanaceae","Solanum","","americanum","","","Mill.","Accepted","Solanum  americanum  ",FALSE
"Astrantia major L","Accepted","Apiaceae","Astrantia","","major","","","L.","Accepted","Astrantia  major  ",FALSE
"Nicotiana tabacum L","Accepted","Solanaceae","Nicotiana","","tabacum","","","L.","Accepted","Nicotiana  tabacum  ",FALSE
"Viola tricolor L.","Accepted","Violaceae","Viola","","tricolor","","","L.","Accepted","Viola  tricolor  ",FALSE
"Sium sisarum L. ex Rubrifolia","Accepted","Apiaceae","Sium","","sisarum","","","L.","Accepted","Sium  sisarum  ",FALSE
"Pulmonaria officinalis L.","Accepted","Boraginaceae","Pulmonaria","","officinalis","","","L.","Accepted","Pulmonaria  officinalis  ",FALSE
"Marrubium vulgare L.","Accepted","Lamiaceae","Marrubium","","vulgare","","","L.","Accepted","Marrubium  vulgare  ",FALSE
"Salvia sclarea L.","Accepted","Lamiaceae","Salvia","","sclarea","","","L.","Accepted","Salvia  sclarea  ",FALSE
"Lythrum salicaria L.","Accepted","Lythraceae","Lythrum","","salicaria","","","L.","Accepted","Lythrum  salicaria  ",FALSE
"Scrophularia nodosa L.","Accepted","Scrophulariaceae","Scrophularia","","nodosa","","","L.","Accepted","Scrophularia  nodosa  ",FALSE
"Teucrium scorodonia L.","Accepted","Lamiaceae","Teucrium","","scorodonia","","","L.","Accepted","Teucrium  scorodonia  ",FALSE
"Anemone nemorosa L.","Accepted","Ranunculaceae","Anemone","","nemorosa","","","L.","Accepted","Anemone  nemorosa  ",FALSE
"Aconitum napellus","Accepted","Ranunculaceae","Aconitum","","napellus","","","L.","Accepted","Aconitum  napellus  ",FALSE
"Acorus calamus","Accepted","Acoraceae","Acorus","","calamus","","","L.","Accepted","Acorus  calamus  ",FALSE
"Aegopodium podagraria","Accepted","Apiaceae","Aegopodium","","podagraria","","","L.","Accepted","Aegopodium  podagraria  ",FALSE
"Aethusa cynapium var. gigantea","Synonym","Apiaceae","Aethusa","","cynapium","","","L.","Accepted","Aethusa  cynapium  ",FALSE
"Ajuga reptans","Accepted","Lamiaceae","Ajuga","","reptans","","","L.","Accepted","Ajuga  reptans  ",FALSE
"Alliaria petiolata","Accepted","Brassicaceae","Alliaria","","petiolata","","","(M.Bieb.) Cavara & Grande","Accepted","Alliaria  petiolata  ",FALSE
"Allium scorodoprasum","Accepted","Amaryllidaceae","Allium","","scorodoprasum","","","L.","Accepted","Allium  scorodoprasum  ",FALSE
"Allium ursinum","Accepted","Amaryllidaceae","Allium","","ursinum","","","L.","Accepted","Allium  ursinum  ",TRUE
"Althaea officinalis","Accepted","Malvaceae","Althaea","","officinalis","","","L.","Accepted","Althaea  officinalis  ",TRUE
"Althaea rosea","Synonym","Malvaceae","Alcea","","rosea","","","L.","Accepted","Alcea  rosea  ",FALSE
"Anchusa officinalis","Accepted","Boraginaceae","Anchusa","","officinalis","","","L.","Accepted","Anchusa  officinalis  ",FALSE
"Anemone hepatica","Accepted","Ranunculaceae","Anemone","","hepatica","","","L.","Accepted","Anemone  hepatica  ",FALSE
"Anemone nemorosa","Accepted","Ranunculaceae","Anemone","","nemorosa","","","L.","Accepted","Anemone  nemorosa  ",TRUE
"Anemone ranunculoides","Accepted","Ranunculaceae","Anemone","","ranunculoides","","","L.","Accepted","Anemone  ranunculoides  ",FALSE
"Angelica archangelica ssp. litoralis","Accepted","Apiaceae","Angelica","","archangelica","subsp.","litoralis","(Wahlenb.) Thell.","Accepted","Angelica  archangelica subsp. litoralis",FALSE
"Anthemis tinctoria","Synonym","Compositae","Cota","","tinctoria","","","(L.) J.Gay","Accepted","Cota  tinctoria  ",FALSE
"Anthriscus caucalis","Accepted","Apiaceae","Anthriscus","","caucalis","","","M.Bieb.","Accepted","Anthriscus  caucalis  ",FALSE
"Apium repens","Accepted","Apiaceae","Apium","","repens","","","(Jacq.) Lag.","Accepted","Apium  repens  ",FALSE
"Aquilegia vulgaris","Accepted","Ranunculaceae","Aquilegia","","vulgaris","","","L.","Accepted","Aquilegia  vulgaris  ",FALSE
"Arctium lappa","Accepted","Compositae","Arctium","","lappa","","","L.","Accepted","Arctium  lappa  ",FALSE
"Arctium minus","Accepted","Compositae","Arctium","","minus","","","(Hill) Bernh.","Accepted","Arctium  minus  ",FALSE
"Arctium pubens","Synonym","Compositae","Arctium","","minus","","","(Hill) Bernh.","Accepted","Arctium  minus  ",TRUE
"Arctium tomentosum","Accepted","Compositae","Arctium","","tomentosum","","","Mill.","Accepted","Arctium  tomentosum  ",FALSE
"Aristolochia clematitis","Accepted","Aristolochiaceae","Aristolochia","","clematitis","","","L.","Accepted","Aristolochia  clematitis  ",FALSE
"Armoracia rusticana","Accepted","Brassicaceae","Armoracia","","rusticana","","","P.Gaertn., B.Mey. & Scherb.","Accepted","Armoracia  rusticana  ",TRUE
"Artemisia abrotanum","Accepted","Compositae","Artemisia","","abrotanum","","","L.","Accepted","Artemisia  abrotanum  ",TRUE
"Artemisia absinthium","Accepted","Compositae","Artemisia","","absinthium","","","L.","Accepted","Artemisia  absinthium  ",FALSE
"Arum alpinum ssp danicum","Synonym","Araceae","Arum","","cylindraceum","","","Gasp.","Accepted","Arum  cylindraceum  ",FALSE
"Arum alpinum ssp maculatum","Synonym","Araceae","Arum","","cylindraceum","","","Gasp.","Accepted","Arum  cylindraceum  ",TRUE
"Asarum europaeum","Accepted","Aristolochiaceae","Asarum","","europaeum","","","L.","Accepted","Asarum  europaeum  ",TRUE
"Asparagus officinalis","Accepted","Asparagaceae","Asparagus","","officinalis","","","L.","Accepted","Asparagus  officinalis  ",FALSE
"Asperugo procumbens","Accepted","Boraginaceae","Asperugo","","procumbens","","","L.","Accepted","Asperugo  procumbens  ",FALSE
"Asperula odorata","Synonym","Rubiaceae","Galium","","odoratum","","","(L.) Scop.","Accepted","Galium  odoratum  ",FALSE
"Ballota nigra ssp foetida","Accepted","Lamiaceae","Ballota","","nigra","subsp.","foetida","(Vis.) Hayek","Accepted","Ballota  nigra subsp. foetida",FALSE
"Ballota nigra ssp nigra","Synonym","Lamiaceae","Ballota","","nigra","","","L.","Accepted","Ballota  nigra  ",TRUE
"Berberis vulgaris","Accepted","Berberidaceae","Berberis","","vulgaris","","","L.","Accepted","Berberis  vulgaris  ",FALSE
"Brassica campestris","Synonym","Brassicaceae","Brassica","","rapa","","","L.","Accepted","Brassica  rapa  ",FALSE
"Brassica nigra","Accepted","Brassicaceae","Brassica","","nigra","","","(L.) K.Koch","Accepted","Brassica  nigra  ",FALSE
"Bryonia alba","Accepted","Cucurbitaceae","Bryonia","","alba","","","L.","Accepted","Bryonia  alba  ",TRUE
"Bryonia dioica","Synonym","Cucurbitaceae","Bryonia","","cretica","subsp.","dioica","(Jacq.) Tutin","Accepted","Bryonia  cretica subsp. dioica",FALSE
"Bunium bulbocastanum","Accepted","Apiaceae","Bunium","","bulbocastanum","","","L.","Accepted","Bunium  bulbocastanum  ",FALSE
"Bupleurum rotundifolium","Accepted","Apiaceae","Bupleurum","","rotundifolium","","","L.","Accepted","Bupleurum  rotundifolium  ",FALSE
"Calla palustris","Accepted","Araceae","Calla","","palustris","","","L.","Accepted","Calla  palustris  ",FALSE
"Camelina sativa ssp. sativa","Synonym","Brassicaceae","Camelina","","sativa","","","(L.) Crantz","Accepted","Camelina  sativa  ",FALSE
"Campanula glomerata","Accepted","Campanulaceae","Campanula","","glomerata","","","L.","Accepted","Campanula  glomerata  ",FALSE
"Campanula latifolia","Accepted","Campanulaceae","Campanula","","latifolia","","","L.","Accepted","Campanula  latifolia  ",FALSE
"Campanula latifolia var macrantha","Synonym","Campanulaceae","Campanula","","latifolia","","","L.","Accepted","Campanula  latifolia  ",TRUE
"Campanula rapunculoides","Accepted","Campanulaceae","Campanula","","rapunculoides","","","L.","Accepted","Campanula  rapunculoides  ",FALSE
"Campanula rapunculus","Accepted","Campanulaceae","Campanula","","rapunculus","","","L.","Accepted","Campanula  rapunculus  ",FALSE
"Carum carvi","Accepted","Apiaceae","Carum","","carvi","","","L.","Accepted","Carum  carvi  ",FALSE
"Chaerophyllum bulbosum","Accepted","Apiaceae","Chaerophyllum","","bulbosum","","","L.","Accepted","Chaerophyllum  bulbosum  ",FALSE
"Chaerophyllum temulentum","Synonym","Apiaceae","Chaerophyllum","","temulum","","","L.","Accepted","Chaerophyllum  temulum  ",FALSE
"Chamomilla recutita","Synonym","Compositae","Matricaria","","chamomilla","","","L.","Accepted","Matricaria  chamomilla  ",FALSE
"Cheiranthus cheiri","Synonym","Brassicaceae","Erysimum","×","cheiri","","","(L.) Crantz","Accepted","Erysimum × cheiri  ",FALSE
"Chelidonium majus","Accepted","Papaveraceae","Chelidonium","","majus","","","L.","Accepted","Chelidonium  majus  ",TRUE
"Chenopodium bonus-henricus","Accepted","Amaranthaceae","Chenopodium","","bonus-henricus","","","L.","Accepted","Chenopodium  bonus-henricus  ",FALSE
"Chenopodium hybridum","Accepted","Amaranthaceae","Chenopodium","","hybridum","","","L.","Accepted","Chenopodium  hybridum  ",FALSE
"Chenopodium murale","Accepted","Amaranthaceae","Chenopodium","","murale","","","L.","Accepted","Chenopodium  murale  ",FALSE
"Chenopodium polyspermum","Accepted","Amaranthaceae","Chenopodium","","polyspermum","","","L.","Accepted","Chenopodium  polyspermum  ",FALSE
"Cichorium intybus","Accepted","Compositae","Cichorium","","intybus","","","L.","Accepted","Cichorium  intybus  ",FALSE
"Cirsium heterophyllum","Accepted","Compositae","Cirsium","","heterophyllum","","","(L.) Hill","Accepted","Cirsium  heterophyllum  ",FALSE
"Clematis vitalba","Accepted","Ranunculaceae","Clematis","","vitalba","","","L.","Accepted","Clematis  vitalba  ",FALSE
"Colchicum autumnale","Accepted","Colchicaceae","Colchicum","","autumnale","","","L.","Accepted","Colchicum  autumnale  ",FALSE
"Conium maculatum","Accepted","Apiaceae","Conium","","maculatum","","","L.","Accepted","Conium  maculatum  ",FALSE
"Conopodium majus","Accepted","Apiaceae","Conopodium","","majus","","","(Gouan) Loret","Accepted","Conopodium  majus  ",FALSE
