GI_coop_label,GI_coop_region,GI_coop_village,ST_ft_since,END_COOP_gps.Longitude,END_COOP_gps.Latitude
CEAA ( Coopérative Espoir Agnikro d’Abengourou),Abengourou,Abengourou,2013,-3.547533,6.532059
CAPRESSA ( Cooperative Agnitie de prestation de service et de commercialisation d’Aprompron),Abengourou,Abengourou,2011,-3.501302,6.72624
COOPAYAAF (Coopérative Agricole Yéyonian d’Apprompron Affewa),Abengourou,Abengourou,2011,-3.50402,6.72506
COOPAAI ( Cooperative Aboussouan de l'Indenie),Abengourou,Abengourou,2013,-3.508174,6.694234
COOPASA (Coopérative Agricole Solidarité  d’Akati),Abengourou,Abengourou,2013,-3.508174,6.694234
COOP-CA-CAEMIN,Abengourou,Abengourou,2014,-3.503834,6.728631
CAMAYE (Cooperative Agricole Mawoube de Yere Yere),Abengourou,Abengourou,2015,-3.497767,6.731023
CAMAK ( Cooperative Agricole Mawoubie d'Aka-comoekro),Abengourou,Abengourou,2014,-3.508174,6.694234
COOP-CA- NANTEBESSOU,Abengourou,Abengourou,2016,-3.494586,6.72239
CAYEMOS,Abengourou,Abengourou,2018,-3.508174,6.694234
SCANFI - SCOOPS,Abengourou,Abengourou,2017,-3.508174,6.694234
COOPAYE (Coopérative Agricole Yéyokon de l'Indénié),Abengourou,Abengourou,2016,-3.508174,6.694234
SCOOP-CA Mawoubié,Abengourou,Abengourou,2018,-3.508174,6.694234
SOCAB,Aboisso,Aboisso,2013,-3.206914,5.467957
COOPAGOS,Aboisso,Aboisso,2014,-3.206914,5.467957
SOCNAD COOP-CA (Societe Cooperative de la Nouvelle Alliance du Dandji),Aboisso,Aboisso,2015,-3.206914,5.467957
COOPEBIA-CA (Société Coopérative Entente de la Bia),Aboisso,Aboisso,2018,-3.206914,5.467957
CAAN ( Cooperative Agricole Adzope Nord),Adzope,Adzope,2013,-3.861501,6.096617
Société Coopérative Agricole d'Azope (SCAGA COOP- CA),Adzope,Adzope,2017,-3.861501,6.096617
CKA (coop ketin Affery),Affery (Akoupé),Affery,2013,-3.854052,6.102331
COOP-CA ECAAF (Eterprise Cooperative Agricole D’Affery),Akoupe (Affery),Affery,2015,-3.953604,6.317282
COOP COOPYMA (Coopérative Yétikon de Mafféré),Aboisso,Affienou,2013,-2.924878,5.404254
SCINPA (Coopérative ivoirienne du Négoce des Produits Agricoles ),Agboville,Agboville,2015,-4.202103,5.931307
Société Coopérative des Producteurs Associés de l’Agneby (COOPAA COOP-CA),Agboville,Agboville,2017,-4.219948,5.930597
